Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,72.199997,72.644997,70.639999,71.059998,71.059998,1998400
2020-09-24,71.580002,72.459999,70.820000,71.750000,71.750000,1386200
2020-09-25,71.019997,72.330002,71.019997,71.940002,71.940002,932000
2020-09-28,72.629997,72.940002,71.970001,72.300003,72.300003,1066200
2020-09-29,72.900002,73.699997,72.710999,73.139999,73.139999,1383700
2020-09-30,72.760002,73.410004,71.800003,72.330002,72.330002,1926400
2020-10-01,72.459999,73.739998,72.099998,73.230003,73.230003,3045400
2020-10-02,72.589996,73.929001,72.349998,73.430000,73.430000,1697700
2020-10-05,73.199997,74.629997,72.989998,74.419998,74.419998,936900
2020-10-06,74.419998,74.570000,73.000000,73.529999,73.529999,582800
2020-10-07,74.129997,74.750000,73.959999,74.519997,74.519997,2560900
2020-10-08,74.470001,74.720001,73.410004,73.879997,73.879997,829200
2020-10-09,74.250000,75.290001,74.230003,74.500000,74.500000,597400
2020-10-12,75.269997,77.279999,75.154999,76.720001,76.720001,1012200
2020-10-13,76.139999,76.220001,74.930000,75.820000,75.820000,1268400
2020-10-14,79.379997,82.556000,79.110001,81.290001,81.290001,2775600
2020-10-15,80.650002,84.349998,80.620003,83.589996,83.589996,2675800
2020-10-16,84.820000,85.510002,83.809998,84.339996,84.339996,1047800
2020-10-19,84.820000,85.529999,83.000000,83.220001,83.220001,1085900
2020-10-20,83.089996,84.470001,82.879997,83.400002,83.400002,1027400
2020-10-21,82.889999,83.120003,80.550003,80.750000,80.750000,1100900
2020-10-22,80.730003,81.750000,79.870003,81.250000,81.250000,604800
2020-10-23,79.580002,80.089996,78.900002,79.349998,79.349998,894500
2020-10-26,78.089996,78.629997,75.970001,77.169998,77.169998,1115300
2020-10-27,77.709999,78.180000,77.010002,77.379997,77.379997,734100
2020-10-28,75.839996,75.980003,74.550003,75.489998,75.489998,992900
2020-10-29,75.599998,76.559998,74.169998,74.760002,74.760002,1699800
2020-10-30,74.500000,74.820000,72.150002,73.959999,73.959999,1222900
2020-11-02,74.370003,75.389999,73.070000,73.629997,73.629997,1150200
2020-11-03,74.080002,75.546997,73.680000,75.080002,75.080002,1707700
2020-11-04,76.300003,78.320000,75.919998,77.290001,77.290001,1350700
2020-11-05,80.250000,81.000000,80.019997,80.279999,80.279999,1427300
2020-11-06,79.570000,80.260002,78.980003,79.820000,79.820000,641400
2020-11-09,73.129997,73.360001,70.500000,71.080002,71.080002,2759100
2020-11-10,72.639999,72.959999,70.470001,71.000000,71.000000,1069900
2020-11-11,72.209999,73.820000,72.059998,73.529999,73.529999,1043300
2020-11-12,73.680000,74.199997,72.150002,72.559998,72.559998,772400
2020-11-13,73.930000,74.910004,73.309998,74.019997,74.019997,1001100
2020-11-16,71.150002,72.349998,70.580002,71.989998,71.989998,1204700
2020-11-17,71.839996,72.919998,71.080002,72.599998,72.599998,743300
2020-11-18,71.699997,71.839996,69.970001,70.370003,70.370003,915700
2020-11-19,70.510002,71.415001,69.959999,70.830002,70.830002,1780700
2020-11-20,71.370003,71.599998,70.830002,70.930000,70.930000,430200
2020-11-23,70.510002,70.510002,68.580002,69.519997,69.519997,803200
2020-11-24,68.220001,69.129997,68.014999,68.919998,68.919998,751100
2020-11-25,69.169998,70.080002,68.410004,69.690002,69.690002,648400
2020-11-27,69.699997,70.480003,69.379997,70.029999,70.029999,290600
2020-11-30,70.610001,70.870003,69.795998,70.339996,70.339996,1021100
2020-12-01,71.410004,72.480003,70.989998,71.650002,71.650002,1135800
2020-12-02,71.580002,72.019997,70.589996,71.040001,71.040001,658000
2020-12-03,69.800003,70.589996,69.511002,70.209999,70.209999,450400
2020-12-04,69.690002,70.000000,68.580002,68.870003,68.870003,1309800
2020-12-07,68.900002,69.220001,67.129997,68.309998,68.309998,704600
2020-12-08,67.919998,68.029999,66.742996,66.870003,66.870003,936500
2020-12-09,70.519997,73.910004,70.239998,71.360001,71.360001,3359800
2020-12-10,70.300003,70.540001,69.050003,69.250000,69.250000,1215000
2020-12-11,70.230003,70.540001,69.290001,69.940002,69.940002,649600
2020-12-14,70.459999,71.199997,69.989998,70.250000,70.250000,957300
2020-12-15,70.820000,71.449997,69.879997,71.059998,71.059998,501500
2020-12-16,70.139999,71.419998,69.540001,71.230003,71.230003,646100
2020-12-17,70.500000,71.230003,70.199997,71.080002,71.080002,647700
2020-12-18,71.500000,71.910004,71.050003,71.599998,71.599998,1983700
2020-12-21,72.309998,72.879997,71.470001,72.550003,72.550003,790400
2020-12-22,72.519997,73.199997,72.059998,72.870003,72.870003,1415200
2020-12-23,72.680000,73.279999,72.059998,73.059998,73.059998,1776800
2020-12-24,72.910004,73.639999,72.750000,73.599998,73.599998,342600
2020-12-28,75.000000,75.629997,74.290001,74.290001,74.290001,693600
2020-12-29,74.360001,75.000000,71.949997,72.589996,72.589996,824600
2020-12-30,73.910004,74.959999,73.320000,73.959999,73.959999,703200
2020-12-31,74.000000,74.639999,73.099998,74.269997,74.269997,1137900
2021-01-04,74.660004,76.980003,74.660004,75.940002,75.940002,1282200
2021-01-05,76.599998,79.809998,76.480003,79.480003,79.480003,1803100
2021-01-06,78.470001,79.339996,77.269997,78.050003,78.050003,2208700
2021-01-07,78.360001,80.110001,77.074997,77.360001,77.360001,2737600
2021-01-08,80.919998,82.730003,80.180000,82.440002,82.440002,3231300
2021-01-11,81.160004,82.000000,80.720001,81.010002,81.010002,1908800
2021-01-12,81.489998,83.709999,81.269997,83.019997,83.019997,2630600
2021-01-13,78.760002,79.790001,78.250000,79.309998,79.309998,2640800
2021-01-14,76.910004,77.300003,74.389999,75.110001,75.110001,1968100
2021-01-15,71.550003,72.769997,70.800003,71.059998,71.059998,1649100
2021-01-19,71.099998,71.589996,70.529999,71.150002,71.150002,1498500
2021-01-20,71.680000,73.910004,71.510002,73.529999,73.529999,2729900
2021-01-21,76.089996,78.029999,75.949997,77.839996,77.839996,1136900
2021-01-22,76.110001,79.129997,76.081001,78.879997,78.879997,961900
2021-01-25,78.459999,78.459999,76.510002,77.620003,77.620003,816400
2021-01-26,76.150002,76.459999,74.669998,75.150002,75.150002,564100
2021-01-27,71.809998,73.680000,70.475998,72.070000,72.070000,1058600
2021-01-28,73.300003,75.889999,73.220001,74.459999,74.459999,2036600
2021-01-29,76.400002,77.809998,74.529999,75.269997,75.269997,1701300
2021-02-01,76.930000,78.000000,75.160004,76.040001,76.040001,1752300
2021-02-02,75.290001,75.570000,73.892998,74.830002,74.830002,2167600
2021-02-03,74.680000,76.864998,74.620003,74.790001,74.790001,2704100
2021-02-04,72.209999,72.809998,71.349998,72.320000,72.320000,2188600
2021-02-05,72.889999,73.430000,72.055000,72.540001,72.540001,937900
2021-02-08,72.529999,73.040001,70.699997,71.650002,71.650002,802800
2021-02-09,71.940002,72.239998,69.885002,70.250000,70.250000,1068300
2021-02-10,70.779999,70.800003,69.440002,69.730003,69.730003,938500
2021-02-11,71.139999,71.650002,70.000000,71.040001,71.040001,1778100
2021-02-12,71.250000,73.379997,71.019997,72.510002,72.510002,2099600
2021-02-16,71.720001,72.279999,70.859001,71.739998,71.739998,1284100
2021-02-17,71.000000,71.000000,69.489998,70.389999,70.389999,1800300
2021-02-18,69.389999,70.580002,68.949997,70.370003,70.370003,1512200
2021-02-19,70.410004,70.820000,69.019997,69.830002,69.830002,1599800
2021-02-22,67.839996,67.940002,66.040001,66.199997,66.199997,1258300
2021-02-23,64.629997,66.279999,63.500000,65.830002,65.830002,1791800
2021-02-24,64.779999,65.300003,63.459999,64.839996,64.839996,2463200
2021-02-25,65.050003,65.849998,63.040001,63.049999,63.049999,2122600
2021-02-26,63.480000,64.250000,62.889999,64.070000,64.070000,1171600
2021-03-01,63.869999,64.750000,63.599998,64.339996,64.339996,2209100
2021-03-02,65.089996,65.180000,63.720001,64.050003,64.050003,1200600
2021-03-03,62.790001,62.889999,60.910000,61.639999,61.639999,1415300
2021-03-04,61.029999,61.330002,58.235001,59.220001,59.220001,2223600
2021-03-05,59.470001,60.700001,58.049999,60.189999,60.189999,1015700
2021-03-08,59.759998,61.540001,59.632000,60.639999,60.639999,930300
2021-03-09,62.430000,63.919998,62.060001,63.560001,63.560001,1909200
2021-03-10,65.209999,67.449997,65.209999,67.080002,67.080002,3211900
2021-03-11,68.500000,69.330002,68.169998,68.510002,68.510002,842200
2021-03-12,67.680000,68.099998,67.209999,67.680000,67.680000,1057300
2021-03-15,67.690002,68.150002,66.470001,67.730003,67.730003,2948600
2021-03-16,66.930000,67.089996,65.459999,66.139999,66.139999,1448300
2021-03-17,65.599998,65.739998,64.360001,65.370003,65.370003,871600
2021-03-18,64.010002,64.180000,62.540001,62.900002,62.900002,719100
2021-03-19,62.709999,63.509998,61.830002,62.299999,62.299999,4133100
2021-03-22,62.840000,63.660000,62.509998,62.919998,62.919998,1459500
2021-03-23,63.090000,63.500000,62.299999,62.709999,62.709999,544500
2021-03-24,62.000000,62.160000,59.330002,59.340000,59.340000,783500
2021-03-25,58.860001,61.660000,58.860001,61.119999,61.119999,1551000
2021-03-26,61.480000,61.779999,60.549999,61.560001,61.560001,959600
2021-03-29,61.180000,61.880001,60.320000,61.410000,61.410000,966700
2021-03-30,60.660000,60.840000,59.470001,59.869999,59.869999,1515600
2021-03-31,60.450001,61.560001,60.000000,60.000000,60.000000,1297000
2021-04-01,61.430000,63.790001,61.320000,63.380001,63.380001,1970400
2021-04-05,63.810001,64.406998,63.345001,63.810001,63.810001,1928000
2021-04-06,62.869999,63.139999,62.130001,62.259998,62.259998,588300
2021-04-07,65.279999,65.970001,64.610001,65.570000,65.570000,949000
2021-04-08,65.889999,65.894997,64.910004,65.370003,65.370003,572800
2021-04-09,64.760002,65.919998,64.720001,65.529999,65.529999,1369300
2021-04-12,66.050003,67.709999,66.050003,66.910004,66.910004,1058900
2021-04-13,70.900002,72.220001,70.459999,72.000000,72.000000,1879000
2021-04-14,72.500000,72.989998,71.410004,71.580002,71.580002,1478800
2021-04-15,72.430000,73.110001,72.279999,72.839996,72.839996,1181800
2021-04-16,73.089996,73.089996,71.290001,72.099998,72.099998,1637600
2021-04-19,73.099998,74.199997,72.440002,73.639999,73.639999,1205900
2021-04-20,73.029999,73.320000,72.089996,72.389999,72.389999,758800
2021-04-21,71.669998,71.669998,69.550003,70.500000,70.500000,2776700
2021-04-22,70.570000,71.900002,70.139999,71.029999,71.029999,454200
2021-04-23,72.279999,72.830002,71.809998,72.610001,72.610001,1095000
2021-04-26,72.019997,72.080002,70.769997,70.830002,70.830002,1686400
2021-04-27,70.790001,70.790001,69.699997,70.059998,70.059998,911600
2021-04-28,70.400002,70.919998,70.059998,70.410004,70.410004,1098100
2021-04-29,70.250000,70.349998,67.089996,67.459999,67.459999,966600
2021-04-30,68.690002,69.849998,67.769997,68.040001,68.040001,1237000
2021-05-03,68.040001,69.440002,67.830002,68.839996,68.839996,864500
